x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,label
0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,ROI
0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,ROI
0,1,1,1,0,1,0,0,0,0,-1,-2,-1,-2,-2,-3,NROI
3,2,0,0,2,1,-1,-1,0,-1,-1,-2,0,-1,-2,-3,NROI
4,4,-1,-2,3,3,-1,-1,2,2,-1,-1,1,0,-1,0,NROI
-3,-2,0,1,-2,-1,0,2,-2,-1,1,2,-1,0,1,2,NROI
-1,0,0,5,-1,0,0,6,-1,0,1,6,-1,1,1,5,NROI
-11,-4,5,16,-11,-5,4,15,-11,-5,4,15,-12,-6,4,14,NROI
-15,-4,5,10,-15,-5,4,9,-15,-5,4,9,-16,-6,3,8,NROI
3,0,-1,-2,3,0,-1,-2,2,0,-1,-2,2,0,-1,-2,NROI
2,1,-1,-2,2,1,-1,-2,2,1,-1,-2,2,1,-1,-2,NROI
-3,-1,0,0,-2,-2,0,0,-3,-1,0,0,-2,-1,0,0,NROI
